Portuguese,French
que,quoi
não,Non
de,de
um,un
para,à
eu,je
se,si
me,moi
uma,un
está,ce
com,avec
do,de
por,mettre
te,toi
os,toi
bem,bien
em,dans
ele,il
isso,que
mas,mais
da,de la
como,comme
no,nœud
sim,Oui
as,au
mais,plus
na,dans le
meu,mon
você,toi
aqui,ici
muito,très
foi,il était
estou,Je suis
vamos,allons-y
ela,elle
fazer,faire
vai,aller
isto,ce
já,déjà
tem,il a
só,seulement
minha,mon
nos,nous
ser,être
tudo,tous
ao,au
tenho,J'ai
vou,J'y vais
sei,Je sais
agora,maintenant
há,il y a
lá,là
tu,toi
quando,quand
porque,pourquoi
estás,ces
quem,OMS
onde,où
nada,rien
ter,avoir
então,alors
dizer,dire
lhe,lui
seu,ton
era,était
sou,Je suis
ou,ou
coisa,chose
quero,Je veux
são,ils sont
sua,ton
pode,il peut
nós,nous
mesmo,même
ver,voir
disse,il a dit
eles,ils
bom,bien
estava,il était
esta,ce
todos,tous
mim,moi
posso,Je peux
dos,de la
lo,il
estão,ils sont
temos,nous avons
nunca,jamais
este,ce
casa,maison
até,jusqu'à
assim,comme ça
acho,Je pense
quer,il veut
tens,tu as
tempo,temps
ir,aller
falar,parler
quê,quoi
ainda,encore
tua,ton
teu,ton
favor,s'il te plaît
pai,père
também,aussi
obrigado,merci
vez,temps
deus,Dieu
certo,droite
tão,donc
sobre,sur
melhor,mieux
noite,nuit
és,tu es
dia,jour
estamos,nous sommes
talvez,peut-être
nem,ni
depois,après
sempre,toujours
sabe,il sait
mãe,mère
vida,vie
sem,sans
alguém,quelqu'un
olá,Bonjour
anos,années
sabes,Vous savez
ti,toi
homem,homme
dele,de lui
alguma,quelques
das,de
algo,quelque chose
parece,semble
sr,M.
tinha,il avait
senhor,Monsieur
boa,bien
vais,tu vas
coisas,des choses
estar,être
faz,il le fait
queres,est-ce que tu veux
vocês,toi
dois,deux
ficar,rester
pelo,pour le
preciso,nécessaire
aí,là
diz,il dit
claro,Bien sûr
pessoas,personnes
essa,que
verdade,vrai
dar,donner
esse,que
antes,avant
ninguém,personne
tipo,taper
la,là
vão,ils vont
trabalho,travail
oh,Oh
grande,grand
comigo,avec moi
outra,autre
apenas,juste
espera,attendez
saber,savoir
vá,aller
podes,tu peux
pouco,petit
dinheiro,argent
qual,lequel
qualquer,n'importe lequel
pois,alors
podemos,nous pouvons
fora,dehors
pela,pour le
merda,Merde
deve,il doit
daqui,d'ici
olha,regarder
cá,ici
